ir_led1,ir_led2
-102037, -99045
-102202, -99090
-102396, -99134
-102493, -99158
-102488, -99204
-102502, -99257
-102567, -99279
-102680, -99299
-102789, -99322
-102919, -99267
-103026, -99150
-103108, -99075
-103191, -99059
-103276, -99082
-103373, -99136
-103443, -99189
-103218, -99204
-102613, -99216
-102147, -99226
-102051, -99257
-102155, -99287
-102334, -99325
-102542, -99356
-102670, -99389
-102699, -99426
-102697, -99460
-102782, -99499
-102898, -99532
-103167, -99551
-103278, -99503
-103409, -99419
-103498, -99335
-103606, -99317
-103718, -99348
-103785, -99381
-103534, -99427
-102996, -99454
-102562, -99463
-102480, -99491
-102584, -99473
-102774, -99463
-102960, -99503
-103092, -99542
-103119, -99580
-103143, -99579
-103219, -99628
-103337, -99624
-103458, -99646
-103585, -99608
-103713, -99511
-103806, -99447
-103940, -99436
-104024, -99437
-104140, -99488
-104226, -99508
-104104, -99526
-103682, -99535
-103218, -99512
-103029, -99536
-103073, -99567
-103213, -99593
-103397, -99610
-103530, -99640
-103586, -99678
-103624, -99692
-103698, -99690
-103840, -99709
-103974, -99652
-104091, -99557
-104221, -99511
-104319, -99497
-104434, -99516
-104535, -99555
-104634, -99586
-104611, -99584
-104270, -99592
-103854, -99601
-103589, -99620
-103521, -99651
-103639, -99694
-103791, -99706
-103914, -99741
-103970, -99777
-103977, -99782
-104015, -99790
-104093, -99807
-104188, -99731
-104303, -99641
-104389, -99588
-104488, -99593
-104603, -99598
-104696, -99631
-104773, -99647
-104684, -99656
-104316, -99660
-103887, -99674
-103622, -99699
-103586, -99718
-103668, -99756
-103829, -99780
-103927, -99805
-103959, -99831
-103991, -99870
-104034, -99874
-104095, -99905
-104206, -99855
-104302, -99755
-104408, -99688
-104507, -99664
-104611, -99671
-104697, -99717
-104773, -99752
-104673, -99769
-104299, -99765
-103799, -99754
-103456, -99773
-103371, -99814
-103454, -99849
-103589, -99855
-103717, -99897
-103767, -99920
-103783, -99946
-103832, -99968
-103913, -99960
-104018, -99961
-104129, -99883
-104258, -99796
-104336, -99755
-104467, -99771
-104589, -99784
-104753, -99860
-104576, -99909
-104142, -99930
-103704, -99951
-103500, -99936
-103469, -99972
-103540, -99997
-103696, -100032
-103807, -100046
-103842, -100078
-103882, -100097
-103944, -100115
-104063, -100125
-104169, -100111
-104285, -100040
-104435, -99971
-104541, -99968
-104676, -99998
-104788, -100030
-104895, -100076
-104892, -100098
-104669, -100098
-104273, -100146
-103986, -100154
-103896, -100171
-103899, -100181
-104050, -100226
-104167, -100232
-104277, -100279
-104289, -100322
-104305, -100288
-104357, -100320
-104445, -100268
-104542, -100194
-104639, -100173
-104721, -100153
-104817, -100195
-104935, -100240
-105006, -100277
-104975, -100274
-104710, -100292
